paper_id,year,title,venue,quality,core_status,threatened_claim,key_overlap,key_difference,novelty_risk
K01,2024,"When Model Meets New Normals: Test-Time Adaptation for Unsupervised Time-Series Anomaly Detection",AAAI,A*,core,"Learning new normality after deployment","Evolving normality; test-time adaptation; anomaly detection","No sparse human feedback; no subject-specific personalization; no explicit safety-critical preservation",high
K02,2026,"CANDI: Curated Test-Time Adaptation for Multivariate Time-Series Anomaly Detection Under Distribution Shift",AAAI,A*,core,"Adapting from false positives while preserving old knowledge","False-positive mining; selective adaptation; normality adaptation; knowledge preservation","No human-confirmed feedback; no subject-specific repeated-session personalization; no explicit protected dangerous-behavior semantics",very_high
K03,2024,"Taming False Positives in Out-of-Distribution Detection with Human Feedback",AISTATS,A/core,"Sparse human feedback safely reducing false positives","Expert feedback; online threshold update; explicit FPR guarantee; feedback efficiency","OOD threshold adaptation rather than one-class normal-region personalization; not repeated subject-specific continual learning",very_high
K04,2025,"Monitoring Risks in Test-Time Adaptation",NeurIPS,A*,core,"Safe adaptation under deployment risk","Risk monitoring for continually adapted models; statistical guarantees","Generic TTA risk monitoring rather than anomaly normality expansion",medium_high
K05,2022,"NOTE: Robust Continual Test-time Adaptation Against Temporal Correlation",NeurIPS,A*,core,"Stable continual adaptation in streams","Continual TTA; temporal correlation; memory sampling; robust adaptation","Classification/domain shift, not one-class personalized anomaly detection",medium
K06,2024,"Test-time Adaptation in Non-stationary Environments via Adaptive Representation Alignment",NeurIPS,A*,core,"Continual adaptation under evolving distributions","Non-stationary streaming adaptation; source alignment; theoretical guarantees","No anomaly semantics; no human feedback; no subject personalization",medium
K07,2024,"Contamination-Resilient Anomaly Detection via Adversarial Learning on Partially-Observed Normal and Anomalous Data",ICML,A*,core,"Safe anomaly learning under contaminated normal data","Explicit contamination resistance; partially observed normal/anomaly data","Training contamination rather than personalization-induced semantic contamination",medium_high
K08,2025,"An Evidence-Based Post-Hoc Adjustment Framework for Anomaly Detection Under Data Contamination",NeurIPS,A*,core,"Contamination-aware anomaly adaptation","Post-hoc/test-time adjustment using evidence under contamination","Not user-specific continual normality expansion; no sparse caregiver feedback",medium_high
S01,2024,"Selective Test-Time Adaptation for Unsupervised Anomaly Detection using Neural Implicit Representations",Preprint,excluded,novelty_sentinel,"Avoid adapting to anomalies during anomaly-detector adaptation","Selective adaptation; explicitly warns that full adaptation can learn pathology","Preprint-only; medical imaging; no continual human-confirmed personalization",high_if_published
S02,2026,"When Normality Shifts: Risk-Aware Test-Time Adaptation for Unsupervised Tabular Anomaly Detection",Preprint,excluded,novelty_sentinel,"Risk-aware normality adaptation without anomaly absorption","Pseudo-normal selection; constraints on anomalous samples; risk-aware TTA","Preprint-only; tabular; no human feedback or subject personalization",very_high_if_published
