paper_id,year,title,venue,venue_tier,peer_reviewed,modality,task,continual_update,personalization,human_feedback,one_class_or_normal_only,safety_or_contamination_control,directness_to_target,status,official_source,notes
P01,2025,"One-for-More: Continual Diffusion Model for Anomaly Detection",CVPR,A*,yes,image,"continual anomaly detection",yes,no,no,yes,partial,high,include,https://openaccess.thecvf.com/content/CVPR2025/html/Li_One-for-More_Continual_Diffusion_Model_for_Anomaly_Detection_CVPR_2025_paper.html,"Closest top-tier evidence that continual anomaly detection is an explicit task; industrial/medical image setting rather than user-personalized video."
P02,2025,"Toward Long-Tailed Online Anomaly Detection through Class-Agnostic Concepts",ICCV,A*,yes,image,"online anomaly detection",yes,no,no,yes,no,medium-high,include,https://openaccess.thecvf.com/content/ICCV2025/html/Yang_Toward_Long-Tailed_Online_Anomaly_Detection_through_Class-Agnostic_Concepts_ICCV_2025_paper.html,"Online AD under changing class distribution; no human feedback or subject personalization."
P03,2024,"Learning from One Continuous Video Stream",CVPR,A*,yes,video,"online continual video learning",yes,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/CVPR2024/html/Carreira_Learning_from_One_Continuous_Video_Stream_CVPR_2024_paper.html,"Important protocol and online-stream learning reference; not anomaly detection."
P04,2024,"Open-Vocabulary Video Anomaly Detection",CVPR,A*,yes,video,"open-vocabulary video anomaly detection",no,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/CVPR2024/html/Wu_Open-Vocabulary_Video_Anomaly_Detection_CVPR_2024_paper.html,"Relevant to open-world anomalies but not continual personalization."
P05,2025,"Anomize: Better Open Vocabulary Video Anomaly Detection",CVPR,A*,yes,video,"open-vocabulary video anomaly detection",no,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/CVPR2025/html/Li_Anomize_Better_Open_Vocabulary_Video_Anomaly_Detection_CVPR_2025_paper.html,"Recent top-tier OVVAD; useful boundary marker showing open-world recognition is different from our evolving-normality problem."
P06,2022,"Generative Cooperative Learning for Unsupervised Video Anomaly Detection",CVPR,A*,yes,video,"unsupervised/OCC video anomaly detection",no,no,no,yes,no,medium-high,include,https://openaccess.thecvf.com/content/CVPR2022/html/Zaheer_Generative_Cooperative_Learning_for_Unsupervised_Video_Anomaly_Detection_CVPR_2022_paper.html,"Strong video anomaly baseline family; explicitly discusses OCC setting."
P07,2021,"Else-Net: Elastic Semantic Network for Continual Action Recognition From Skeleton Data",ICCV,A*,yes,skeleton,"continual action recognition",yes,no,no,no,no,medium-high,include,https://openaccess.thecvf.com/content/ICCV2021/html/Li_Else-Net_Elastic_Semantic_Network_for_Continual_Action_Recognition_From_Skeleton_ICCV_2021_paper.html,"Strong evidence that continual learning on skeleton streams is established, but it is class/action recognition rather than anomaly personalization."
P08,2023,"Data-Free Class-Incremental Hand Gesture Recognition",ICCV,A*,yes,skeleton,"data-free class-incremental recognition",yes,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/ICCV2023/html/Aich_Data-Free_Class-Incremental_Hand_Gesture_Recognition_ICCV_2023_paper.html,"Privacy/data-retention-relevant skeleton CL; not one-class anomaly detection."
P09,2021,"Class-Incremental Learning for Action Recognition in Videos",ICCV,A*,yes,video,"video class-incremental learning",yes,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/ICCV2021/html/Park_Class-Incremental_Learning_for_Action_Recognition_in_Videos_ICCV_2021_paper.html,"Foundational top-tier VCIL reference; useful for temporal forgetting mechanisms, not target formulation."
P10,2022,"vCLIMB: A Novel Video Class Incremental Learning Benchmark",CVPR,A*,yes,video,"video class-incremental benchmark",yes,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/CVPR2022/html/Villa_vCLIMB_A_Novel_Video_Class_Incremental_Learning_Benchmark_CVPR_2022_paper.html,"Benchmark/protocol reference for video continual learning; highlights temporal memory choices."
P11,2023,"Space-time Prompting for Video Class-incremental Learning",ICCV,A*,yes,video,"video class-incremental learning",yes,no,no,no,no,medium,include,https://openaccess.thecvf.com/content/ICCV2023/html/Pei_Space-time_Prompting_for_Video_Class-incremental_Learning_ICCV_2023_paper.html,"Efficient parameter adaptation in VCIL; useful later for resource-aware extension."
P12,2022,"OneFlow: One-Class Flow for Anomaly Detection Based on a Minimal Volume Region",TPAMI,Q1/top journal,yes,image/tabular,"one-class anomaly detection",no,no,no,yes,no,medium-high,include,https://pubmed.ncbi.nlm.nih.gov/34460365/,"Strong modern one-class method; not continual or personalized."
P13,2020,"Timeseries Anomaly Detection using Temporal Hierarchical One-Class Network",NeurIPS,A*,yes,time-series,"temporal one-class anomaly detection",no,no,no,yes,no,medium,include,https://proceedings.neurips.cc/paper/2020/hash/97e401a02082021fd24957f852e0e475-Abstract.html,"Top-tier temporal OCC reference; useful for normal-only temporal representation."
P14,2018,"Deep One-Class Classification",ICML,A*,yes,image/tabular,"deep one-class classification",no,no,no,yes,no,foundational,include,https://proceedings.mlr.press/v80/ruff18a.html,"Seminal Deep SVDD reference retained despite pre-2020 cutoff because it is foundational."
